,companyName,datePublished,ratingValue,reviewBody
81,DuGood Credit Union,2022-04-26,Rated 5 out of 5 stars,Yes I applied for a loan to purchase a boat online everything went well was able to sign paperwork at nearest Dugood which made my travel less all the staff was very friendly and everything went well
82,DuGood Credit Union,2022-04-25,Rated 5 out of 5 stars,I Love dealing with the people at every location! Always so helpful and friendly! The credit union as a whole is one of the last to cling to the values that has made this a free and Godly county for so many years!
83,DuGood Credit Union,2022-04-23,Rated 5 out of 5 stars,I checked on a personal loan and within an hour I had been helped and offered an even better solution to my needs. Kristin Daniels was efficient and knowledgeable and made the whole process very easy for me to understand and feel secure accomplishing what I needed.
84,DuGood Credit Union,2022-04-23,Rated 5 out of 5 stars,Dugood did a very good job of refinancing my vehicle in a timely manner can't complain about nothing
85,DuGood Credit Union,2022-04-22,Rated 5 out of 5 stars,Marissa was so helpful setting up our account and finding us a lower interest rate than we were originally paying.  Love our DuGood family!
86,DuGood Credit Union,2022-04-22,Rated 5 out of 5 stars,Everything was done exactly as they said it would be. All papers were prepared correctly and the closing was very smooth. I look forward to doing more business with DuGood.
87,DuGood Credit Union,2022-04-22,Rated 5 out of 5 stars,Joan Nale was great to work with. She was very knowledgeable and walked us through the entire process up to signing the loan paperwork. She's truly an asset to DuGood FCU.
88,DuGood Credit Union,2022-04-22,Rated 5 out of 5 stars,Torey was amazing and walked me through every step. So patient and so kind.
89,DuGood Credit Union,2022-04-22,Rated 5 out of 5 stars,I was very pleased with my loan officer.  She was very swift and courteous knowing what to do without hesitation.  The process did not take long at all.  Within a few hours the funds were in my account.   Kristin did an excellent job.
90,DuGood Credit Union,2022-04-21,Rated 5 out of 5 stars,"Excellent service. I will always stick with Du Good. They not just good, They're Great!!!"
91,DuGood Credit Union,2022-04-20,Rated 5 out of 5 stars,We were able to handle an auto purchase easily and sign needed documents by e signature. Tammy Christopher is always a joy to work with. We know we can count on her and trust her with everything we do.
92,DuGood Credit Union,2022-04-20,Rated 5 out of 5 stars,Getting my account closed and a new account opened was quick and easy.  Extremely nice employees.
93,DuGood Credit Union,2022-04-20,Rated 5 out of 5 stars,I worked with Pauline in Mortgage. She was excellent. She was very friendly and answered every question that I had. Very smooth process!!!
94,DuGood Credit Union,2022-04-20,Rated 5 out of 5 stars,They were very helpful explained everything to me very fast paste
95,DuGood Credit Union,2022-04-19,Rated 5 out of 5 stars,Very helpful and resolved my problem.Thanks
96,DuGood Credit Union,2022-04-19,Rated 5 out of 5 stars,Very great customer service and very nice and helpful
97,DuGood Credit Union,2022-04-19,Rated 5 out of 5 stars,The best experience we have had in processing a personal loan. We were very appreciative of the attention to detail and efficiency of the process.
98,DuGood Credit Union,2022-04-18,Rated 5 out of 5 stars,Excellent loan experience. Answered all questions in a timely manner.
99,DuGood Credit Union,2022-04-18,Rated 5 out of 5 stars,I have been a member since Sept 2019 and my ssi check goes directly there. I recently needed the money to purchase a small RV to make into a home for myself. I requested a loan and was approved within 2 hours. I now have a RV that I will be able to call home. Thank You Dugood.
100,DuGood Credit Union,2022-04-18,Rated 5 out of 5 stars,It was great service. Straight to the point and the person i talked with was very knowledgeable and helpful. Thank you du good
101,DuGood Credit Union,2022-04-17,Rated 4 out of 5 stars,
102,DuGood Credit Union,2022-04-17,Rated 4 out of 5 stars,They were very kind and helped us get 2 vehicles in our name!
103,DuGood Credit Union,2022-04-17,Rated 5 out of 5 stars,"What a great and easy experience! I applied for a car loan and EVERYTHING was done over the phone. I purchased the car in Houston two hours away and my loan specialist Stephanie Salas coordinated the purchase directly with the salesman and completed my loan as I continued working. I didn’t have to step into the Credit Union or drive back to Houston for anything except to pick up my car. DuGood Credit Union is the best credit union I’ve ever worked with. Stephanie was professional and efficient. I recommend DuGood Credit Union to anyone, everyone anytime."
104,DuGood Credit Union,2022-04-16,Rated 5 out of 5 stars,"Tammy Christopher went above and beyond all of my expectations.  She is an exemplary individual that exudes confidence, professionalism and project’s & personifies attention to detail. I couldn’t have executed my recent RV purchase out of state without her.  I intend to continue to expand my business and personal financial needs with DuGood FCU."
105,DuGood Credit Union,2022-04-15,Rated 5 out of 5 stars,We were very satisfied with the personalized service  we received in setting up new accounts and making new loans.  Madison and also Branch Manager Tammy Christopher were eager to help us and probably spent 2 hours with us.
106,DuGood Credit Union,2022-04-14,Rated 5 out of 5 stars,"We were making a personal purchase and were out of state, Dugood was awesome at transferring our funds around so we were able to make our purchase with no problems at all. Best Credit Union we have ever had, your a person and not a number with them. Thanks ."
107,DuGood Credit Union,2022-04-14,Rated 4 out of 5 stars,Take too long to clear a check before letting me set up my online banking. I wanted to move money from MN credit union but had to wait 9 days - then 2 more days to get account setup.  Seems like everything I did required a day or so to be approved.  Suggestion: Let me setup online banking immediately - just disallow withdrawals until the 9 days are complete -- would have allowed me to get everything in place and move money into the account much quicker. Hopefully when I set up Bill Pay and other features I don't have to wait again.
108,DuGood Credit Union,2022-04-14,Rated 5 out of 5 stars,Staff was very polite and did everything to meet my needs.
109,DuGood Credit Union,2022-04-14,Rated 5 out of 5 stars,I recently opened an account. I was very pleased how polite Madison was. Looking forward to doing business with them.
110,DuGood Credit Union,2022-04-14,Rated 5 out of 5 stars,
111,DuGood Credit Union,2022-04-13,Rated 5 out of 5 stars,We have been doing business with Dugood for years but have never financed a vehicle with them. With the help of Marissa the process from start to finish was easy and explained every step of the way. Marissa was also able to get my Harley refinanced at an incredible interest rate.
112,DuGood Credit Union,2022-03-30,Rated 5 out of 5 stars,"Torey Johnson - Thank you so much for everything! You were very thorough on every question that was answered, and you went well out of your way on assisting me throughout the process. Very quick to follow up and I'm extremely excited at the end result. I'm rating you a 10 on my recent experience.DuGood needs more employees like you! Amazing job!"
113,DuGood Credit Union,2022-03-29,Rated 5 out of 5 stars,
114,DuGood Credit Union,2022-03-24,Rated 5 out of 5 stars,Torey immediately understood the goal of my requested credit consolidation loan. She gave me all scenarios possible then proceeded quickly with its completion.  Awesome job!!
115,DuGood Credit Union,2022-03-19,Rated 5 out of 5 stars,"My experience opening an account at the DuGood Federal Credit Union in Mont Belvieu, Texas was amazing!  Not only did they allow me to enter the lobby at almost closing time, they were happy to stay late helping me and explaining all of the extra perks that came along with my new account! Thank you for the outstanding customer service Mindy and Courtney!!!"
116,DuGood Credit Union,2022-03-15,Rated 5 out of 5 stars,Special Shout-out to the Mont Belv location! When there was fraud on my account they immediately closed my stuff and re opened a account for me and it was almost closing and they still did it! The manager gave me her number and let me reach out to her at anytime. She’s the best. Also shout out to TARA BALONEY !!!! One of the best loan officers. She recommended the best options for me. She truly wants to see you make the best choice! It’s greatly appreciated. She’s very diligent and works swiftly. Thanks Du Good sending love from Houston!💛
117,DuGood Credit Union,2022-03-15,Rated 5 out of 5 stars,"The banker was very courteous and professional.  Various products were offered and explained which made it easier to select what was perfect for me.  Opening the accounts was quick, the banker handled the entire process from opening, funding, debit card and mobile banking. I’m looking forward to banking with the jasper branch"
118,DuGood Credit Union,2022-03-14,Rated 5 out of 5 stars,
119,DuGood Credit Union,2022-03-14,Rated 5 out of 5 stars,Kristin Daniels was super and she was extremely helpful. I feel like she had my best interest at heart. The entire team is top notch.
120,DuGood Credit Union,2022-03-12,Rated 5 out of 5 stars,"Received a home equity loan.  Sandy and her staff we very professional, thorough and friendly. The whole experience went like clockwork.  We are very pleased with DuGood Mortgage."
121,DuGood Credit Union,2022-03-11,Rated 5 out of 5 stars,Opening an account online was fast and simple.
122,DuGood Credit Union,2022-03-10,Rated 5 out of 5 stars,"I was very welcomed, Darlene was very quick and professional about taking care of my needs"
123,DuGood Credit Union,2022-03-10,Rated 5 out of 5 stars,Amazing people and amazing service.  I refinanced my vehicle and the whole process was extremely easy.  Thank you DuGood!
124,DuGood Credit Union,2022-03-10,Rated 5 out of 5 stars,"Very Professional, patient, and helpful in making the loan experience as painless as possible."
125,DuGood Credit Union,2022-03-10,Rated 5 out of 5 stars,"Deanna Cudd was friendly, easy to work with and knowledgeable."
126,DuGood Credit Union,2022-03-10,Rated 5 out of 5 stars,We submitted an auto refinance application online and Ms Tara contacted us shortly after.  She was able to help us with the refi and save us quite a bit on our monthly payment.  We then visited our local Branch and Ms Jessica assisted us in opening our account.Our overall experience has been phenomenal and we are excited to be a part of the DuGood family!
127,DuGood Credit Union,2022-03-09,Rated 5 out of 5 stars,I applied for a loan online. I received replies that were very prompt and informative. When I visited the Nederland branch Jessica was so helpful while being professional.
128,DuGood Credit Union,2022-03-09,Rated 5 out of 5 stars,
129,DuGood Credit Union,2022-03-09,Rated 5 out of 5 stars,It was easy got my loan over the phone just had to go in and sign papers
130,DuGood Credit Union,2022-03-08,Rated 5 out of 5 stars,We applied for a personal loan and worked with Genise Griffin and she made our experience seamless.  Genise was a pleasure to work with and truely asset to your organization.ThanksDoug & Stacey Smith
131,DuGood Credit Union,2022-03-08,Rated 5 out of 5 stars,A great experience. Took very little time and a very friendly staff.
132,DuGood Credit Union,2022-03-08,Rated 5 out of 5 stars,The people were really nice and very quick to help me on what I needed to open account with them
133,DuGood Credit Union,2022-03-07,Rated 5 out of 5 stars,He was very helpful with whatever I needed and he made sure to do follow ups and that’s really appreciated
134,DuGood Credit Union,2022-03-05,Rated 5 out of 5 stars,"Paulina and Charla were extremely helpful. They kept us updated on our application throughout the process. Both were always friendly, polite, and patient.  They made the whole process pretty easy and efficient."
135,DuGood Credit Union,2022-03-05,Rated 5 out of 5 stars,Very courteous and knowledgeable staff. Couldn’t ask for more.
136,DuGood Credit Union,2022-03-04,Rated 5 out of 5 stars,Great place to do business
137,DuGood Credit Union,2022-03-04,Rated 5 out of 5 stars,It was fast she spoke loud due to hearing  was very kind and understanding Read and explain everything clearly
138,DuGood Credit Union,2022-03-03,Rated 5 out of 5 stars,
139,DuGood Credit Union,2022-03-01,Rated 5 out of 5 stars,Monica James was very helpful and professional thru the complete process
140,DuGood Credit Union,2022-03-01,Rated 5 out of 5 stars,I would like to thank Monica James for help in assisting me with my commercial loan.
141,DuGood Credit Union,2022-03-01,Rated 5 out of 5 stars,
142,DuGood Credit Union,2022-02-28,Rated 4 out of 5 stars,Cool bank I’m in a hurry
143,DuGood Credit Union,2022-02-26,Rated 5 out of 5 stars,Easiest load experience I’ve ever had. I’ll always use DuGood.
144,DuGood Credit Union,2022-02-24,Rated 5 out of 5 stars,The bank teller was very understanding and answered all question I asked. She was informative about a lot of things including the different types of bank accounts .
145,DuGood Credit Union,2022-02-24,Rated 5 out of 5 stars,Opening a checking and savings account on Dugood's website was a smooth process. I also appreciate that I was able to call and ask questions. The employees were very kind and helpful. I'm glad I chose Dugood Credit Union!
146,DuGood Credit Union,2022-02-23,Rated 5 out of 5 stars,Made opening a bank account and getting a credit card SO EASY!!!
147,DuGood Credit Union,2022-02-20,Rated 5 out of 5 stars,
148,DuGood Credit Union,2022-02-20,Rated 5 out of 5 stars,I would like to Thank DuGood credit Union for financing my 2018 320I BMW with no hesitation. Mrs Amanda was very professional when she called me to finish giving me my account information. This is my very first time dealing with DuGood but I'm very satisfied already. I will be opening an account with DuGood.
149,DuGood Credit Union,2022-02-19,Rated 5 out of 5 stars,
150,DuGood Credit Union,2022-02-18,Rated 5 out of 5 stars,"We had a great experience with DuGood CU staff, they were friendly, helpful and professional. We highly recommend DuGood CU!"
151,DuGood Credit Union,2022-02-18,Rated 5 out of 5 stars,Every single person we encountered was extremely helpful and knowledgeable. They took the time to explain everything to us and made our first land buying experience amazing! I could not ask for better service.
152,DuGood Credit Union,2022-02-16,Rated 5 out of 5 stars,"I was in your office yesterday 02/15/2022 open a checking as well as a savings for myself and my brother the young lady that Assist us was very knowledgeable With a beautiful personality, I think she said it was her first time opening up an account by herself assume she’s a new employee her service was excellent. Job well done Thanks"
153,DuGood Credit Union,2022-02-15,Rated 5 out of 5 stars,Joan was great! Very professional and patient.  We got it done!! Big thanks Joan!
154,DuGood Credit Union,2022-02-15,Rated 5 out of 5 stars,"First time in DuGood Credit Union and they were awesome and happy to be part of them, very professional and friendly"
155,DuGood Credit Union,2022-02-15,Rated 5 out of 5 stars,Very friendly and helpful make sure you understand and know everything that’s going and makes the process very easy I highly recommend this bank and the people who work here to make things and your life easier
156,DuGood Credit Union,2022-02-15,Rated 5 out of 5 stars,Everyone was so nice and very helpful. I would recommend this bank to anyone.
157,DuGood Credit Union,2022-02-12,Rated 5 out of 5 stars,"Very friendly , I have always enjoyed doing business with this credit union . Very fast response on the application for a loan . Thanks"
158,DuGood Credit Union,2022-02-11,Rated 5 out of 5 stars,write a review
159,DuGood Credit Union,2022-02-11,Rated 5 out of 5 stars,
160,DuGood Credit Union,2022-02-10,Rated 5 out of 5 stars,Mrs Tara worked with me and she was an awesome lady to deal with. I would recommend DuGood to anyone!
161,DuGood Credit Union,2022-02-09,Rated 5 out of 5 stars,Jasper Dugood employees are always very helpful and professional.  As usual it was a pleasure conducting my banking needs with Dugood.
162,DuGood Credit Union,2022-02-08,Rated 5 out of 5 stars,Audrey Hinson is an angel! Very professional answers all my questions was knowledgeable about the services of the credit union. Would recommend DuGood to all my friends and family!
163,DuGood Credit Union,2022-02-08,Rated 5 out of 5 stars,"The lady that opened my account was very polite and courteous , answered all my questions with a smile , I give her a 5 star rating ."
164,DuGood Credit Union,2022-02-07,Rated 5 out of 5 stars,Great customer service
165,DuGood Credit Union,2022-02-07,Rated 5 out of 5 stars,Equity Mortgage start to finish was less than a month. Attentive and great customer service!!
166,DuGood Credit Union,2022-02-07,Rated 5 out of 5 stars,Marissa was so nice to me and very helpful. She explained everything so I could understand and did not rush through it.  She was absolutely awesome!! Thank you!!
167,DuGood Credit Union,2022-02-07,Rated 5 out of 5 stars,Tammy and Katrina in the Jasper branch do a fantastic job helping me every time i need them. They make going through a loan process painless and easy for me. Great people!
168,DuGood Credit Union,2022-02-06,Rated 5 out of 5 stars,Super quick and great service!Getting my loan completed was one of the quickest and easiest processes! Kristin in the loan department was very nice and on top of every step during the application and closing.  Thanks for making this so easy!
169,DuGood Credit Union,2022-02-06,Rated 5 out of 5 stars,
170,DuGood Credit Union,2022-02-06,Rated 5 out of 5 stars,Explained things to me thoroughly so I understood more about the banking institution and how too operate a successful experience
171,DuGood Credit Union,2022-02-06,Rated 5 out of 5 stars,"As always, informative, helpful and easy to contact. Knowledgeable and fast."
172,DuGood Credit Union,2022-02-06,Rated 5 out of 5 stars,EXCELLENT EXPERANCE
173,DuGood Credit Union,2022-02-05,Rated 5 out of 5 stars,Everyone in the mortgage department is professional and quick. They go over and above and updating you where you are in the process I really appreciated the fact that they would call every time they would send an email to make sure I would get right on it
174,DuGood Credit Union,2022-02-05,Rated 5 out of 5 stars,The DuGood staff is always very friendly and helpful!
175,DuGood Credit Union,2022-02-05,Rated 5 out of 5 stars,I love this credit union. Excellent customer satisfaction. Easy to talk to and easy app to use. Will continue to use their services.
176,DuGood Credit Union,2022-02-04,Rated 5 out of 5 stars,Torey was great. She had the process moving quickly and answered all questions. Most of the heavy lifting for the loan process was easy to do from home.
177,DuGood Credit Union,2022-02-04,Rated 5 out of 5 stars,Refinanced a new vehicle & dropped interest rate from 4% to 2.25%! Great service as always! Highly recommended!!
178,DuGood Credit Union,2022-02-04,Rated 5 out of 5 stars,We needed a loan and the representative that helped us was very knowledgeable and quick. We were able to sign everything online and I talked to her on the phone and she was very professional.
179,DuGood Credit Union,2022-02-04,Rated 5 out of 5 stars,
180,DuGood Credit Union,2022-02-03,Rated 5 out of 5 stars,Opening the account was easy and stress free. Everyone i spoke with was very polite and professional and also very helpful. The experience was refreshing.
181,DuGood Credit Union,2022-02-03,Rated 5 out of 5 stars,I opened an account and the woman was very nice and knowledgeable.I was definitely happy with her willingness to answer all my questions.She gave me very detailed answers.I was extremely satisfied with the service I received.
182,DuGood Credit Union,2022-02-03,Rated 5 out of 5 stars,Great job! Fast and friendly service!
183,DuGood Credit Union,2022-02-03,Rated 5 out of 5 stars,I was looking to get pre-approved for a new auto! I simply filled out the application online and literally within 30 minutes I had a loan officer calling me to help! I was approved within 10 mins and it was the easiest loan I have ever obtained!
184,DuGood Credit Union,2022-02-03,Rated 5 out of 5 stars,My loan officer Brenda was absolutely great! She led me through my loan process and we accomplished more than expected in a very short amount of time. DuGood is a great credit union with very pleasant employees.
185,DuGood Credit Union,2022-02-03,Rated 5 out of 5 stars,The Dugood bank in Japser Texas is very nice and very friendly.
186,DuGood Credit Union,2022-02-03,Rated 5 out of 5 stars,Very satisfied with the service I received
187,DuGood Credit Union,2022-02-03,Rated 5 out of 5 stars,"Everyone was very helpful and so nice. Also, very clean environment."
188,DuGood Credit Union,2022-02-03,Rated 5 out of 5 stars,"The staff gave us a warm welcome when we arrived. The staff is very knowledgeable & very helpful. I look forward to banking with them, there like family!! Thanks again!!"
189,DuGood Credit Union,2022-02-02,Rated 5 out of 5 stars,"Ms Torey Johnson is amazing! She is professional, friendly, knowledgeable and absolutely helpful! I felt taken care of from the first to last step!  Ms Torey helped me with everything in needed and all my questions were answered very fast. I would absolutely recommend Dugood! Never had a bad experience with them, i am 100% satisfied! Thank you guys!"
190,DuGood Credit Union,2022-02-02,Rated 5 out of 5 stars,Great group of people. They great you with care and love and like family not like a stranger.. they will also help out in any way they can to make things better and easier on you when you walk in. Couldn't ask for a better bank and employees to work with. The jasper texas branch is the best
